rpm,cht_c,egt_c,oil_press_bar,oil_temp_c,fuel_flow_lph,vibration_g,battery_v,injection_deg,cht_residual,egt_residual,oil_pressure_residual,vibration_residual,degradation,fault,rul
4448.548,123.009,573.863,2.908,88.115,16.592,0.2122,14.397,22.474,28.009,-46.137,0.408,0.1081,63.14,misfire,280.17
4682.097,108.496,579.598,3.363,93.393,17.328,0.31,13.85,20.506,13.496,-40.402,0.863,0.2246,66.774,misfire,274.72
5095.825,143.311,745.11,2.608,113.945,18.612,0.1218,14.272,23.091,31.866,62.639,-0.831,0.0541,70.534,coking_degradation,238.92
5267.804,162.445,746.647,2.801,113.211,17.65,0.1916,14.277,24.203,45.082,35.141,-1.069,0.1101,81.971,coking_degradation,213.15
5409.496,100.265,774.861,3.284,93.866,19.604,0.2651,14.026,28.412,-24.719,54.861,-0.916,0.1724,84.831,combustion_instability,202.78
5258.504,116.776,793.345,3.094,94.019,20.669,0.2251,14.065,12.101,-3.233,77.476,-0.752,0.1444,68.374,injection_timing_issue,250.15
5013.61,137.011,812.858,3.515,124.327,17.444,0.1223,14.238,21.694,30.022,147.52,0.281,0.0612,85.049,coking_degradation,196.05
5071.333,119.645,655.665,3.991,87.779,17.979,0.1432,12.256,21.464,9.813,-21.133,0.613,0.0775,41.465,battery_alternator_health,342.56
5143.927,112.701,663.665,3.656,104.181,15.25,0.0725,11.722,24.838,2.694,-20.741,0.096,0.0009,16.151,battery_alternator_health,433.96
5110.208,126.371,709.602,1.518,142.889,15.089,0.2174,14.211,24.528,17.873,31.585,-1.957,0.1486,73.437,lubrication_issue,256.5
5021.012,123.392,687.591,1.204,131.422,15.836,0.1902,13.851,21.075,17.715,24.137,-2.049,0.1285,71.58,lubrication_issue,246.7
4925.005,105.487,789.378,2.592,91.604,17.542,0.1486,14.157,10.151,1.945,139.792,-0.42,0.0826,71.34,injection_timing_issue,256.89
5052.082,112.261,657.136,3.827,93.283,17.002,0.3498,14.332,19.611,4.176,-14.242,0.497,0.2857,63.853,combustion_instability,273.68
5239.727,123.993,638.95,1.731,116.0,16.181,0.1803,14.178,23.688,9.222,-64.563,-2.068,0.1012,78.809,lubrication_issue,217.7
5122.245,112.179,705.872,4.109,95.302,15.915,0.4396,14.362,18.741,2.374,24.039,0.604,0.3699,75.058,combustion_instability,245.92
4867.754,97.963,747.269,3.119,97.338,12.089,0.1672,13.943,30.976,2.165,118.896,0.25,0.0966,63.176,injection_timing_issue,264.15
5271.458,116.454,687.905,4.185,85.944,16.377,0.3155,13.94,24.13,0.219,-21.711,0.307,0.2338,46.46,abnormal_vibration,333.87
5173.397,112.589,800.836,3.016,91.098,20.387,0.1974,14.265,11.092,-3.734,100.851,-0.618,0.1236,60.769,injection_timing_issue,294.71
5066.785,113.762,723.235,3.153,93.466,14.286,0.1797,13.966,14.386,7.804,54.64,-0.214,0.1144,45.812,injection_timing_issue,341.32
5192.57,99.051,626.528,3.326,97.876,15.63,0.0671,13.031,22.566,-13.282,-67.394,-0.355,-0.0083,42.019,battery_alternator_health,360.38
5006.362,124.726,816.627,2.709,97.214,9.703,0.2327,13.968,13.338,25.769,168.077,-0.507,0.1722,100.0,injector_abnormality,160.66
4953.324,98.451,787.349,2.925,88.576,11.163,0.1671,14.264,27.893,0.155,145.425,-0.159,0.1034,60.695,injector_abnormality,301.17
5202.15,166.738,636.419,3.45,88.412,15.578,0.0844,14.234,21.678,54.074,-59.124,-0.255,0.0082,77.201,sensor_drift,218.26
4922.487,163.485,622.241,3.803,101.678,15.565,0.1154,14.195,22.854,62.021,-22.937,0.797,0.0492,80.429,sensor_drift,226.54
4857.568,121.581,630.855,3.55,88.191,15.998,0.0792,12.552,23.983,22.281,-3.502,0.706,0.0078,39.949,battery_alternator_health,369.78
4847.206,133.069,744.823,3.187,93.263,17.708,0.212,14.129,20.58,32.473,108.91,0.369,0.1398,92.848,abnormal_vibration,163.54
5255.691,119.917,668.482,1.36,121.299,16.396,0.2428,14.227,22.018,4.293,-38.335,-2.48,0.1623,73.328,lubrication_issue,228.86
4907.607,105.168,764.514,3.31,90.553,10.778,0.2406,13.885,16.889,9.087,131.59,0.341,0.1732,82.729,injector_abnormality,220.43
5137.006,154.438,775.034,3.685,132.345,16.275,0.1598,14.012,22.951,43.683,89.823,0.143,0.0888,78.523,overheating,229.41
4964.322,105.685,739.636,3.997,96.579,12.059,0.1619,13.805,13.431,6.054,93.941,0.886,0.099,61.993,injector_abnormality,268.36
4400.124,108.797,584.461,4.032,104.44,18.615,0.2486,13.882,24.691,13.797,-35.539,1.532,0.1406,71.294,misfire,264.25
4863.587,132.878,818.856,3.07,124.416,19.203,0.1214,14.352,24.411,30.131,177.004,0.211,0.0505,93.002,coking_degradation,184.93
5103.596,123.19,735.3,4.018,97.416,12.787,0.1775,14.294,29.038,17.258,63.078,0.559,0.1092,61.193,injector_abnormality,282.7
4938.637,103.895,723.807,2.775,89.773,19.29,0.2068,14.379,33.477,-1.941,68.272,-0.271,0.1419,49.975,injection_timing_issue,332.08
4911.461,138.333,805.483,3.259,114.766,15.615,0.1277,14.246,23.307,37.259,162.189,0.28,0.0606,93.357,overheating,180.05
5345.713,97.298,759.792,4.184,101.953,19.602,0.2309,13.954,21.937,-25.132,39.792,0.12,0.1432,63.831,combustion_instability,262.75
4493.543,120.825,591.655,3.186,104.104,16.614,0.226,13.843,22.868,25.825,-28.345,0.686,0.1254,61.126,misfire,288.67
5295.456,150.682,804.683,3.387,114.314,15.546,0.107,14.015,24.881,34.318,92.41,-0.551,0.0234,79.661,overheating,211.83
5053.75,122.183,611.542,2.664,90.829,17.561,0.3793,14.334,21.937,13.472,-61.254,-0.67,0.315,89.754,abnormal_vibration,191.33
5242.538,162.952,803.058,3.899,121.439,17.084,0.1018,14.178,23.037,47.167,97.234,0.093,0.0224,83.945,coking_degradation,218.3
5126.253,147.328,712.661,3.21,91.679,14.021,0.08,14.394,23.163,39.257,33.893,-0.306,0.0099,52.012,sensor_drift,317.87
5026.094,106.145,734.47,4.128,95.855,17.199,0.2382,13.987,17.854,-1.098,67.375,0.862,0.1761,68.294,injection_timing_issue,264.59
4909.34,119.941,711.359,3.051,100.351,16.629,0.2288,13.929,24.64,17.939,66.42,0.078,0.1615,70.016,abnormal_vibration,262.0
4964.065,105.113,818.206,3.004,96.609,12.591,0.1455,14.377,29.451,4.96,171.492,-0.106,0.0826,68.38,injector_abnormality,273.01
4856.197,170.445,697.303,3.694,98.834,17.972,0.0696,14.176,24.276,69.225,59.244,0.854,-0.0019,91.274,sensor_drift,175.66
5006.113,151.657,629.884,3.938,98.136,17.788,0.1389,13.912,24.69,44.624,-34.792,0.723,0.0784,74.575,sensor_drift,246.87
5184.118,137.775,714.104,1.24,118.05,17.448,0.1947,13.81,23.305,23.963,18.067,-2.42,0.12,78.409,lubrication_issue,231.83
5261.04,119.096,682.826,3.404,99.067,17.91,0.1637,13.013,20.243,1.745,-27.98,-0.449,0.0829,42.599,battery_alternator_health,358.91
5108.559,114.052,650.08,3.038,101.676,17.644,0.073,11.739,20.177,3.065,-32.749,-0.434,0.0044,34.93,battery_alternator_health,365.79
4932.632,103.446,643.755,2.584,96.435,17.359,0.0654,14.016,22.138,-0.219,-6.838,-0.447,-0.0,7.486,healthy,467.64
5205.375,103.004,698.737,2.684,102.443,17.434,0.0722,14.29,22.302,-11.645,-1.099,-1.03,-0.0042,23.373,healthy,412.35
4913.939,145.751,819.283,3.575,123.636,17.436,0.1219,14.204,21.173,42.757,171.901,0.59,0.055,100.0,coking_degradation,142.48
4539.963,122.781,602.558,3.601,95.222,18.427,0.2643,14.077,22.918,27.781,-17.442,1.101,0.1675,77.845,misfire,213.02
5281.72,104.253,647.139,2.981,98.469,15.815,0.1709,12.004,24.908,-11.832,-63.201,-0.923,0.0884,65.324,battery_alternator_health,263.62
5288.27,113.136,680.408,3.88,100.487,16.763,0.1519,11.762,21.037,-4.157,-33.006,-0.041,0.0689,39.1,battery_alternator_health,366.85
5220.868,142.024,767.724,2.911,118.677,17.405,0.1297,14.258,22.204,26.784,65.158,-0.841,0.052,66.573,coking_degradation,271.59
4859.246,110.989,719.951,2.028,119.322,17.06,0.2878,13.937,22.964,10.559,83.166,-0.82,0.2166,82.839,lubrication_issue,203.1
4981.392,162.978,746.258,3.831,121.831,15.298,0.1505,14.038,22.057,59.425,91.012,0.678,0.089,100.0,overheating,157.04
5057.807,103.347,713.634,3.127,104.005,15.309,0.0502,14.264,23.664,-3.275,44.61,-0.217,-0.0144,18.392,healthy,442.56
5244.655,105.093,642.462,2.574,96.829,17.389,0.1432,12.98,24.407,-11.083,-64.355,-1.238,0.0637,60.989,battery_alternator_health,272.01
4565.976,110.18,624.237,3.473,94.55,12.454,0.3992,13.832,22.72,15.18,4.237,0.973,0.3045,75.475,combustion_instability,228.41
4997.392,108.089,661.214,3.122,96.691,16.533,0.1264,11.671,22.372,2.66,0.617,-0.072,0.0662,19.892,battery_alternator_health,426.4
5229.756,96.829,624.831,2.741,97.591,14.399,0.1593,11.567,24.447,-15.76,-73.323,-1.033,0.0809,70.411,battery_alternator_health,258.66
5000.779,105.125,635.818,4.197,93.86,15.409,0.0815,14.395,21.623,0.685,-23.141,0.995,0.0215,21.48,healthy,420.97
4753.611,108.772,775.762,4.069,102.181,11.089,0.2151,14.331,17.66,13.772,155.762,1.485,0.1354,100.0,injector_abnormality,153.28
4524.788,118.869,587.045,3.723,102.297,16.199,0.2728,13.924,20.948,23.869,-32.955,1.223,0.1748,72.519,misfire,242.27
5250.576,140.934,655.253,4.005,101.064,17.323,0.1251,13.861,23.939,24.588,-52.497,0.179,0.0451,60.957,sensor_drift,279.93
4659.135,103.087,710.591,4.11,103.663,16.512,0.404,13.952,23.49,8.087,90.591,1.61,0.3167,100.0,abnormal_vibration,150.49
4875.079,109.937,706.188,3.924,102.631,17.253,0.117,12.208,20.048,8.682,66.168,1.037,0.047,55.888,battery_alternator_health,310.09
4476.465,103.39,560.517,2.623,98.619,16.046,0.382,13.881,23.69,8.39,-59.483,0.123,0.2801,78.29,misfire,230.27
4418.352,128.889,609.896,3.757,95.686,16.62,0.3425,13.913,24.821,33.889,-10.104,1.257,0.2359,83.644,misfire,203.37
5254.294,106.928,784.33,3.03,101.876,17.603,0.2485,14.0,13.951,-9.847,75.35,-0.806,0.1682,65.679,injection_timing_issue,284.03
5243.422,107.91,716.852,3.558,100.507,16.83,0.1005,11.814,20.219,-7.656,11.377,-0.251,0.0211,33.0,battery_alternator_health,376.6
5299.093,118.17,656.439,3.043,100.94,15.004,0.2945,14.193,22.461,2.202,-55.406,-0.905,0.2106,68.871,abnormal_vibration,250.86
4890.602,96.981,649.31,3.914,104.386,17.153,0.121,12.705,24.896,-4.796,6.696,0.988,0.0523,38.004,battery_alternator_health,358.82
5014.994,98.348,638.454,3.793,99.65,16.636,0.1197,11.582,21.507,-7.887,-25.516,0.555,0.0586,36.895,battery_alternator_health,373.07
5161.477,104.926,791.873,3.411,89.566,14.103,0.1848,14.28,34.392,-4.636,106.6,-0.193,0.1119,60.263,injection_timing_issue,296.89
4831.255,136.173,760.321,3.634,111.796,19.317,0.1311,13.976,22.816,34.606,124.062,0.856,0.0576,91.055,coking_degradation,192.88
4411.614,117.362,640.474,3.915,89.89,15.162,0.3321,14.305,26.194,22.362,20.474,1.415,0.225,78.801,combustion_instability,220.7
4857.435,119.809,710.038,1.92,115.507,14.742,0.1811,14.047,21.837,21.769,78.215,-0.923,0.1097,82.492,lubrication_issue,206.94
5222.483,115.78,597.996,3.495,92.812,20.119,0.4024,14.198,23.885,-2.238,-110.289,-0.261,0.3246,86.818,combustion_instability,181.63
4915.264,145.858,639.498,3.399,87.805,15.563,0.1244,14.08,22.601,44.684,-4.377,0.411,0.0576,69.772,sensor_drift,261.0
4720.508,134.038,602.944,3.209,89.189,16.886,0.3021,14.323,21.563,39.038,-17.056,0.708,0.2197,83.075,misfire,200.07
5018.503,153.331,699.911,3.881,86.338,17.464,0.138,13.973,23.058,46.127,33.652,0.634,0.0765,75.245,sensor_drift,250.47
4483.595,127.602,546.375,3.31,95.202,16.497,0.382,14.057,23.026,32.602,-73.625,0.81,0.2806,100.0,misfire,138.34
5059.348,142.857,686.152,1.216,115.281,16.043,0.2723,14.299,21.062,35.441,15.384,-2.132,0.2075,97.484,lubrication_issue,171.05
4984.15,129.217,668.232,2.088,136.053,14.357,0.1482,13.895,24.723,26.494,14.371,-1.072,0.0869,57.929,lubrication_issue,286.39
5173.515,113.122,707.162,2.681,95.688,14.023,0.0617,13.903,22.386,3.158,19.882,-0.953,-0.0122,21.041,healthy,432.11
4725.837,105.552,808.836,2.68,87.465,11.29,0.2401,13.846,30.792,10.552,188.836,0.165,0.1581,94.026,injector_abnormality,167.48
5066.905,166.55,711.266,3.664,101.179,14.793,0.0614,13.961,21.867,60.081,41.638,0.297,-0.0039,83.762,sensor_drift,209.14
5164.7,113.436,643.999,3.627,98.287,15.78,0.3697,13.978,24.026,2.068,-45.207,0.015,0.2965,66.793,abnormal_vibration,273.94
5111.093,106.878,775.602,2.605,99.918,15.747,0.2267,14.093,31.854,-2.313,96.11,-0.873,0.1578,70.556,injection_timing_issue,257.98
4872.8,153.581,754.977,3.755,132.653,14.43,0.1099,14.143,20.75,55.239,121.014,0.873,0.0397,100.0,overheating,138.77
4868.977,164.552,799.782,3.428,114.001,15.075,0.1597,14.387,20.426,65.717,165.215,0.556,0.0892,100.0,overheating,145.19
4845.373,113.813,755.712,3.191,92.811,12.427,0.1361,14.007,33.863,18.571,130.692,0.377,0.0637,80.662,injector_abnormality,222.85
5144.845,102.85,842.398,3.94,90.081,20.235,0.4234,14.095,22.685,-12.178,147.857,0.378,0.3518,100.0,combustion_instability,142.19
5341.473,115.606,675.107,4.15,103.866,16.257,0.3435,14.332,22.793,-3.311,-44.893,0.096,0.2561,64.76,abnormal_vibration,260.0
5201.02,96.78,763.807,3.474,88.983,12.818,0.1509,14.332,10.561,-13.078,73.988,-0.229,0.0748,46.882,injection_timing_issue,327.04
4960.826,129.938,674.569,1.759,110.319,16.138,0.2641,13.854,22.182,26.366,21.344,-1.343,0.201,88.829,lubrication_issue,193.74
4673.06,127.21,560.777,4.061,95.466,14.127,0.2563,13.906,23.47,32.21,-59.223,1.561,0.1702,95.307,misfire,176.45
5292.185,104.389,785.041,2.986,95.934,12.06,0.1945,14.12,10.209,-8.359,80.327,-0.945,0.1111,71.968,injection_timing_issue,245.27
4974.193,98.118,711.623,3.625,103.658,17.243,0.1211,13.846,20.011,-7.093,53.783,0.489,0.0591,32.858,healthy,397.99
4969.278,157.413,719.676,2.829,85.088,17.776,0.1407,14.11,20.414,51.867,61.655,-0.294,0.0783,91.847,sensor_drift,187.64
4572.438,128.251,550.719,3.766,103.288,17.825,0.3103,13.846,22.245,33.251,-69.281,1.266,0.2161,100.0,misfire,137.95
5038.472,107.278,812.407,3.727,89.754,12.826,0.2107,14.006,16.242,3.913,151.829,0.431,0.1476,78.968,injector_abnormality,230.22
5387.87,104.106,638.914,2.589,102.829,14.947,0.4977,14.345,24.386,-15.355,-81.086,-1.58,0.4066,100.0,abnormal_vibration,155.44
5237.636,110.706,787.969,3.299,104.588,16.861,0.358,14.194,20.488,-4.66,83.473,-0.495,0.279,76.138,combustion_instability,242.78
4613.326,109.812,571.267,2.888,100.879,17.758,0.2199,13.898,24.075,14.812,-48.733,0.388,0.1289,61.442,misfire,292.57
4807.059,143.678,734.726,3.815,130.386,17.887,0.101,14.175,20.337,44.509,105.683,1.097,0.0255,88.887,overheating,200.57
4506.296,122.907,844.957,3.719,94.424,17.849,0.4048,14.051,20.252,27.907,224.957,1.219,0.3053,100.0,combustion_instability,143.44
5048.602,122.591,803.569,2.845,100.952,9.695,0.1603,14.283,31.666,21.952,147.431,-0.476,0.0964,79.876,injector_abnormality,205.68
5199.986,113.538,731.301,3.802,85.17,14.975,0.2994,13.892,20.885,1.563,37.353,0.102,0.2234,54.323,abnormal_vibration,317.91
4448.935,120.539,569.783,2.939,94.354,16.942,0.2631,14.195,20.932,25.539,-50.217,0.439,0.1591,64.713,misfire,279.54
5182.995,115.721,679.61,0.842,111.798,17.53,0.2831,13.998,22.459,1.871,-16.389,-2.816,0.2085,72.839,lubrication_issue,246.28
5074.555,149.707,646.136,2.635,93.014,15.914,0.0716,14.095,20.565,41.811,-27.112,-0.751,0.0056,71.175,sensor_drift,250.63
4541.5,112.541,613.329,3.443,91.767,18.055,0.3826,14.291,20.942,17.541,-6.671,0.943,0.286,82.459,misfire,217.62
5052.563,114.062,632.387,2.552,92.449,16.376,0.0678,14.322,22.934,6.584,-37.826,-0.779,0.0036,25.13,healthy,407.54
5052.296,157.809,819.612,3.714,116.191,20.174,0.1688,13.888,20.321,46.543,141.852,0.383,0.1047,100.0,coking_degradation,149.42
5096.176,112.404,639.386,3.145,89.089,16.15,0.1549,11.998,23.255,3.407,-38.224,-0.296,0.0873,46.461,battery_alternator_health,338.42
5177.389,105.743,571.177,3.393,104.999,14.555,0.2358,14.086,23.867,-4.907,-117.863,-0.251,0.1617,65.694,combustion_instability,260.02
5031.022,140.084,785.285,3.082,113.219,16.182,0.1388,13.986,24.322,33.661,119.336,-0.196,0.0763,80.355,overheating,226.84
5231.137,156.391,746.778,2.895,119.495,17.654,0.1453,13.851,23.04,40.491,41.865,-0.883,0.0668,82.7,coking_degradation,222.79
4956.264,103.094,812.814,4.046,102.851,20.431,0.1513,13.9,27.485,-4.587,151.825,0.955,0.0878,75.313,injection_timing_issue,246.22
4742.583,117.873,772.93,3.766,91.806,12.234,0.1218,13.836,13.35,22.873,152.93,1.209,0.0412,89.795,injector_abnormality,187.51
5354.895,102.841,842.117,2.662,101.557,20.088,0.3436,14.358,21.175,-20.443,122.117,-1.426,0.2552,100.0,combustion_instability,163.96
5382.993,114.193,732.85,4.125,95.093,16.346,0.4322,14.209,20.544,-6.473,12.85,-0.033,0.3416,62.787,combustion_instability,292.29
4520.552,127.757,558.465,3.07,85.941,16.285,0.3622,14.209,24.124,32.757,-61.535,0.57,0.2638,93.128,misfire,186.15
5095.174,96.7,788.183,3.762,90.588,18.405,0.1428,13.848,28.253,-14.512,106.242,0.324,0.0751,68.209,injection_timing_issue,269.3
5177.03,156.556,816.686,2.516,124.823,20.033,0.1188,13.885,21.202,40.442,116.755,-1.127,0.0446,95.978,coking_degradation,176.24
5228.687,118.098,786.06,2.749,87.186,14.374,0.1822,13.998,11.2,5.576,88.147,-1.022,0.1039,66.171,injection_timing_issue,269.64
4956.77,122.059,717.458,1.708,115.202,16.637,0.2176,14.22,23.254,18.151,63.966,-1.384,0.1542,81.524,lubrication_issue,221.09
4578.689,132.379,725.582,3.925,93.691,14.655,0.2359,13.996,22.567,37.379,105.582,1.425,0.1422,100.0,abnormal_vibration,139.69
4574.309,129.767,550.175,2.586,103.742,15.218,0.3727,13.879,23.585,34.767,-69.825,0.086,0.2786,98.102,misfire,142.89
4495.27,121.161,597.506,3.511,95.06,16.04,0.2253,13.943,23.896,26.161,-22.494,1.011,0.1249,71.012,misfire,256.84
4776.14,118.846,623.966,3.057,100.396,17.923,0.2906,14.25,20.727,20.877,0.415,0.416,0.2126,63.381,abnormal_vibration,293.01
5252.203,153.634,803.726,3.57,112.733,19.207,0.1749,14.094,21.925,35.339,91.915,-0.26,0.0947,80.93,coking_degradation,212.2
5078.161,116.136,723.858,2.762,87.8,17.327,0.2403,13.944,21.962,6.683,47.135,-0.633,0.174,66.053,abnormal_vibration,274.89
4858.872,112.459,718.387,2.738,86.021,14.384,0.4129,14.017,20.965,14.719,87.021,-0.109,0.3416,93.776,abnormal_vibration,182.99
5284.526,173.788,657.677,3.983,100.418,14.462,0.079,13.966,20.881,58.945,-50.462,0.072,-0.0037,70.229,sensor_drift,264.42
4838.469,99.874,644.047,3.919,92.783,17.586,0.0832,14.253,20.7,-0.251,9.951,1.123,0.0103,18.013,healthy,451.61
4935.301,132.979,693.287,1.316,134.021,14.692,0.2384,13.83,22.852,31.875,47.549,-1.722,0.1732,92.041,lubrication_issue,190.1
5255.911,166.556,733.678,3.989,120.463,15.348,0.1171,13.983,23.497,51.971,28.917,0.149,0.0366,68.903,overheating,272.82
4914.46,147.548,800.859,4.193,122.894,17.911,0.1033,14.063,24.537,44.059,152.435,1.207,0.0365,100.0,coking_degradation,149.58
4629.28,117.346,554.851,2.686,95.811,18.118,0.1855,14.106,24.423,22.346,-65.149,0.186,0.0958,58.951,misfire,306.33
4885.401,118.038,680.444,2.717,87.059,17.27,0.1297,13.996,23.247,16.352,38.531,-0.197,0.0605,33.285,healthy,392.28
5297.917,96.111,625.605,3.839,85.856,14.473,0.1307,14.2,22.292,-19.278,-84.965,-0.106,0.0469,44.486,healthy,349.64
4691.796,102.855,784.678,2.609,93.691,9.542,0.1282,13.845,28.861,7.855,164.678,0.109,0.0435,68.382,injector_abnormality,269.56
4836.761,101.708,776.717,2.712,95.94,10.734,0.2366,14.397,33.23,6.708,156.632,-0.08,0.1636,78.818,injector_abnormality,227.76
4547.789,102.281,561.022,3.679,97.697,15.788,0.3887,13.967,22.786,7.281,-58.978,1.179,0.2925,83.142,misfire,221.58
5039.256,127.791,633.844,0.968,122.236,14.335,0.2695,14.203,21.8,22.886,-29.892,-2.33,0.2064,86.8,lubrication_issue,197.48
4880.345,115.901,655.469,3.678,92.783,14.04,0.1283,14.158,20.389,17.647,20.928,0.777,0.0587,36.993,healthy,375.56
4862.005,123.952,775.755,2.85,101.167,10.361,0.2181,13.803,33.072,28.952,151.871,-0.005,0.147,86.065,injector_abnormality,206.46
5246.674,162.298,635.336,4.151,103.277,15.12,0.098,13.947,21.85,48.311,-67.305,0.334,0.0183,82.843,sensor_drift,211.01
4937.59,154.122,632.645,3.366,104.766,15.478,0.1292,14.26,23.277,52.14,-15.077,0.322,0.0642,76.873,sensor_drift,244.45
5213.343,107.348,704.409,2.557,99.513,15.543,0.1052,13.116,24.639,-5.728,6.922,-1.177,0.0282,44.733,battery_alternator_health,329.29
4953.284,116.513,779.011,4.0,104.817,20.575,0.1237,13.97,27.584,8.806,118.27,0.917,0.06,71.77,injection_timing_issue,251.58
5146.768,139.115,784.437,3.316,117.11,19.032,0.1988,14.229,24.332,25.212,91.954,-0.251,0.127,79.798,coking_degradation,220.44
4832.715,153.876,817.612,3.901,107.08,17.718,0.1336,14.253,21.255,53.849,184.287,1.119,0.0602,100.0,coking_degradation,156.34
4888.562,137.104,782.14,3.555,110.396,20.614,0.113,13.833,20.321,31.948,132.971,0.634,0.044,84.341,coking_degradation,198.25
4831.973,123.803,797.836,3.602,102.422,12.454,0.2173,13.854,31.815,28.803,175.173,0.822,0.1439,100.0,injector_abnormality,153.93
4883.216,100.574,643.347,3.569,94.365,15.963,0.1435,11.943,21.713,0.282,4.443,0.661,0.0741,28.962,battery_alternator_health,401.92
5112.983,102.353,647.801,2.929,96.245,18.364,0.2346,14.261,21.641,-9.531,-37.265,-0.553,0.1655,53.879,combustion_instability,325.95
5077.861,117.01,772.972,4.015,96.824,12.14,0.1553,14.091,14.888,12.755,106.676,0.62,0.0891,66.518,injector_abnormality,265.7
4839.538,98.652,607.992,3.141,85.842,17.354,0.4332,13.899,19.15,-1.283,-25.832,0.342,0.3604,67.257,combustion_instability,269.28
5013.434,121.937,784.342,3.356,102.701,16.644,0.2848,14.261,24.228,15.755,120.635,0.122,0.2237,78.631,combustion_instability,215.46
4857.087,100.572,714.239,2.824,97.984,16.346,0.1553,12.279,24.842,0.942,79.271,-0.019,0.0839,40.158,battery_alternator_health,360.62
5296.167,139.024,803.174,3.182,121.408,19.308,0.1106,14.337,20.847,18.869,83.248,-0.758,0.0269,67.634,coking_degradation,265.36
5166.659,131.707,692.069,1.783,113.992,16.118,0.2365,14.312,22.109,19.922,1.833,-1.834,0.1632,78.755,lubrication_issue,229.23
5248.127,116.523,665.598,1.789,129.492,16.238,0.1419,14.388,22.956,1.36,-39.541,-2.031,0.0621,51.229,lubrication_issue,313.47
5166.1,119.463,691.132,3.158,95.322,15.059,0.0696,13.166,22.006,8.759,3.115,-0.458,-0.0037,26.889,battery_alternator_health,405.8
5131.01,113.006,639.967,2.544,88.417,15.167,0.0582,14.306,21.542,3.599,-41.949,-0.984,-0.0123,27.319,healthy,401.31
4825.837,101.986,623.439,2.836,100.522,17.552,0.1662,12.376,20.132,2.4,-8.315,0.071,0.0923,29.806,battery_alternator_health,409.06
4876.248,110.337,644.947,3.803,102.283,17.977,0.0747,14.292,20.992,8.31,3.268,0.913,0.0048,19.757,healthy,437.04
4973.929,133.575,630.675,0.948,129.379,17.309,0.16,14.098,21.579,28.309,-27.25,-2.187,0.0979,88.676,lubrication_issue,179.71
4600.155,134.236,552.235,2.918,103.705,18.577,0.3482,13.86,22.631,39.236,-67.765,0.418,0.2562,100.0,misfire,158.14
5290.575,111.086,713.924,2.696,104.408,14.714,0.1463,13.959,20.542,-4.251,4.192,-1.23,0.063,27.846,healthy,400.58
4800.527,135.79,774.387,2.578,110.144,14.224,0.212,14.079,21.237,40.545,153.844,-0.123,0.136,100.0,overheating,145.8
4904.796,110.748,755.394,2.822,95.827,12.775,0.2051,14.094,28.671,12.781,118.98,-0.14,0.1375,68.94,injector_abnormality,259.82
5249.105,161.427,789.627,3.059,110.788,18.477,0.1129,14.0,20.39,43.986,79.835,-0.764,0.033,89.66,coking_degradation,178.3
4886.2,104.518,742.231,3.31,101.938,13.876,0.2066,13.99,12.251,6.193,106.963,0.394,0.1374,72.044,injection_timing_issue,249.64
